game_id,gameCount,Team 1,Team 2,Team 1 Score,Team 2 Score,Team 1 Win,Team 2 Win,Team 1 Rushing Attempts,Team 2 Rushing Attempts,Team 1 Rushing Yards,Team 2 Rushing Yards,Team 1 YPC,Team 2 YPC,Team 1 Pass Completions,Team 2 Pass Completions,Team 1 Pass Attempts,Team 2 Pass Attempts,Team 1 Completion Percentage,Team 2 Completion Percentage,Team 1 YPA,Team 2 YPA,Team 1 Passing Yards,Team 2 Passing Yards,Team 1 Total Yards,Team 2 Total Yards,Team 1 Times Sacked,Team 2 Times Sacked,Team 1 Sack Yardage,Team 2 Sack Yardage,Team 1 3rd Down Conversions,Team 2 3rd Down Conversions,Team 1 3rd Down Attempts,Team 2 3rd Down Attempts,Team 1 3rd Down Conversion Rate,Team 2 3rd Down Conversion Rate,Team 1 Turnovers on Downs,Team 2 Turnovers on Downs,Team 1 Fumbles Lost,Team 2 Fumbles Lost,Team 1 Interceptions Thrown,Team 2 Interceptions Thrown,Team 1 Total Turnovers,Team 2 Total Turnovers,Team 1 Penalties,Team 2 Penalties,Team 1 Penalty Yardage,Team 2 Penalty Yardage
2016091111,11,NYG,DAL,20,19,1,0,24.0,30.0,113.0,101.0,4.7,3.4,19.0,25.0,28.0,45.0,67.9,55.60000000000001,7.2,5.0,203.0,227.0,316.0,328.0,2.0,0.0,-4.0,0.0,5.0,10.0,10.0,17.0,50.0,58.8,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,6.0,40.0,50.0
2016091112,12,DET,IND,39,35,1,0,24.0,19.0,116.0,82.0,4.8,4.3,31.0,31.0,39.0,47.0,79.5,66.0,8.5,7.8,332.0,368.0,448.0,450.0,1.0,2.0,-8.0,-17.0,5.0,9.0,9.0,16.0,55.60000000000001,56.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,4.0,70.0,45.0
2016091200,13,NE,ARI,23,21,1,0,31.0,19.0,106.0,92.0,3.4,4.8,24.0,24.0,33.0,37.0,72.7,64.9,7.8,6.8,257.0,252.0,363.0,344.0,2.0,3.0,-7.0,-19.0,10.0,6.0,16.0,12.0,62.5,50.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,8.0,6.0,69.0,58.0
2016091201,14,PIT,WAS,38,16,1,0,30.0,12.0,147.0,55.0,4.9,4.6,27.0,30.0,37.0,43.0,73.0,69.8,6.5,7.7,240.0,329.0,387.0,384.0,1.0,0.0,-12.0,0.0,9.0,3.0,14.0,10.0,64.3,30.0,0.0,2.0,0.0,0.0,1.0,2.0,1.0,2.0,4.0,9.0,81.0,55.0
2016091500,15,SF,LA,28,0,1,0,42.0,23.0,150.0,65.0,3.6,2.8,22.0,17.0,35.0,35.0,62.9,48.6,4.9,3.4,170.0,120.0,320.0,185.0,0.0,2.0,0.0,-10.0,8.0,3.0,17.0,15.0,47.099999999999994,20.0,1.0,1.0,1.0,0.0,0.0,2.0,1.0,2.0,2.0,10.0,10.0,102.0
2016091800,16,BUF,NYJ,30,37,0,1,19.0,36.0,86.0,123.0,4.5,3.4,19.0,24.0,31.0,34.0,61.3,70.6,9.9,10.9,307.0,370.0,393.0,493.0,0.0,1.0,0.0,-4.0,3.0,8.0,10.0,13.0,30.0,61.5,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,6.0,6.0,59.0,45.0
2016091801,17,SF,CAR,27,46,0,1,26.0,37.0,65.0,176.0,2.5,4.8,17.0,24.0,36.0,40.0,47.199999999999996,60.0,6.6,8.8,237.0,353.0,302.0,529.0,2.0,1.0,-6.0,0.0,4.0,7.0,14.0,15.0,28.599999999999998,46.7,0.0,0.0,1.0,3.0,2.0,1.0,3.0,4.0,6.0,8.0,50.0,65.0
2016091802,18,BAL,CLE,25,20,1,0,26.0,23.0,80.0,145.0,3.1,6.3,25.0,20.0,45.0,33.0,55.60000000000001,60.6,6.7,7.3,302.0,242.0,382.0,387.0,0.0,3.0,0.0,-18.0,10.0,8.0,16.0,15.0,62.5,53.300000000000004,1.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,4.0,8.0,29.0,59.0
2016091803,19,DET,TEN,15,16,0,1,23.0,24.0,137.0,146.0,6.0,6.1,22.0,25.0,40.0,33.0,55.00000000000001,75.8,6.0,6.8,238.0,224.0,375.0,370.0,4.0,3.0,-22.0,-14.0,7.0,5.0,16.0,12.0,43.8,41.699999999999996,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,17.0,12.0,138.0,83.0
2016091804,20,KC,HOU,12,19,0,1,19.0,34.0,119.0,97.0,6.3,2.9,20.0,19.0,37.0,33.0,54.1,57.599999999999994,4.6,7.7,172.0,254.0,291.0,351.0,4.0,2.0,-14.0,-14.0,3.0,4.0,14.0,15.0,21.4,26.700000000000003,0.0,0.0,3.0,0.0,0.0,2.0,3.0,2.0,9.0,5.0,77.0,44.0
2016091805,21,MIA,NE,24,31,0,1,16.0,38.0,70.0,161.0,4.4,4.2,32.0,24.0,45.0,35.0,71.1,68.60000000000001,8.6,8.6,387.0,302.0,457.0,463.0,0.0,2.0,0.0,-22.0,5.0,7.0,10.0,14.0,50.0,50.0,0.0,0.0,2.0,1.0,2.0,0.0,4.0,1.0,5.0,7.0,49.0,65.0
2016091806,22,NYG,NO,16,13,1,0,32.0,13.0,63.0,41.0,2.0,3.2,32.0,29.0,41.0,44.0,78.0,65.9,8.6,5.6,353.0,247.0,416.0,288.0,2.0,2.0,-15.0,-16.0,7.0,3.0,15.0,13.0,46.7,23.1,1.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,3.0,7.0,25.0,76.0
2016091807,23,CIN,PIT,16,24,0,1,18.0,36.0,46.0,124.0,2.6,3.4,31.0,19.0,54.0,37.0,57.4,51.4,6.8,6.8,366.0,250.0,412.0,374.0,1.0,1.0,0.0,-9.0,4.0,7.0,16.0,17.0,25.0,41.199999999999996,0.0,0.0,2.0,0.0,0.0,2.0,2.0,2.0,5.0,5.0,31.0,54.0
2016091808,24,WAS,DAL,23,27,0,1,17.0,30.0,82.0,102.0,4.8,3.4,28.0,22.0,46.0,30.0,60.9,73.3,7.6,9.3,350.0,278.0,432.0,380.0,2.0,4.0,-14.0,-14.0,5.0,6.0,12.0,12.0,41.699999999999996,50.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,8.0,6.0,51.0,39.0
2016091809,25,TB,ARI,7,40,0,1,21.0,30.0,85.0,105.0,4.0,3.5,27.0,18.0,52.0,34.0,51.9,52.900000000000006,4.2,9.1,221.0,311.0,306.0,416.0,3.0,1.0,-22.0,-4.0,5.0,6.0,13.0,14.0,38.5,42.9,0.0,0.0,1.0,0.0,4.0,0.0,5.0,0.0,5.0,3.0,39.0,30.0
2016091810,26,SEA,LA,3,9,0,1,24.0,25.0,67.0,64.0,2.8,2.6,22.0,18.0,35.0,30.0,62.9,60.0,6.8,7.3,239.0,219.0,306.0,283.0,2.0,3.0,-15.0,-20.0,4.0,3.0,13.0,12.0,30.8,25.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,10.0,9.0,114.0,78.0
2016091811,27,IND,DEN,20,34,0,1,21.0,31.0,83.0,134.0,4.0,4.3,21.0,22.0,40.0,33.0,52.5,66.7,4.2,8.1,170.0,266.0,253.0,400.0,5.0,1.0,-27.0,0.0,6.0,5.0,14.0,11.0,42.9,45.5,0.0,0.0,1.0,0.0,1.0,1.0,2.0,1.0,8.0,8.0,94.0,54.0
2016091812,28,OAK,ATL,28,35,0,1,25.0,29.0,155.0,139.0,6.2,4.8,34.0,25.0,45.0,33.0,75.6,75.8,6.6,10.3,299.0,341.0,454.0,480.0,1.0,1.0,0.0,-7.0,5.0,5.0,12.0,10.0,41.699999999999996,50.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,9.0,7.0,58.0,72.0
2016091813,29,JAX,SD,14,38,0,1,11.0,35.0,69.0,150.0,6.3,4.3,31.0,17.0,50.0,25.0,62.0,68.0,6.4,8.3,319.0,207.0,388.0,357.0,2.0,3.0,-10.0,-13.0,2.0,7.0,11.0,13.0,18.2,53.800000000000004,1.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,13.0,3.0,78.0,23.0
2016091900,30,GB,MIN,14,17,0,1,23.0,22.0,83.0,30.0,3.6,1.4,20.0,22.0,36.0,31.0,55.60000000000001,71.0,5.0,8.2,180.0,254.0,263.0,284.0,5.0,4.0,-33.0,-32.0,6.0,4.0,13.0,14.0,46.2,28.599999999999998,1.0,1.0,2.0,1.0,1.0,0.0,3.0,1.0,6.0,13.0,72.0,137.0
2016092200,31,PHI,CHI,29,14,1,0,32.0,18.0,100.0,64.0,3.1,3.6,21.0,21.0,34.0,29.0,61.8,72.39999999999999,5.3,7.6,180.0,220.0,280.0,284.0,2.0,3.0,-10.0,-15.0,3.0,4.0,15.0,10.0,20.0,40.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,3.0,5.0,7.0,34.0,60.0
2016092500,32,NE,HOU,27,0,1,0,39.0,27.0,185.0,109.0,4.7,4.0,11.0,24.0,19.0,41.0,57.9,58.5,5.1,4.3,97.0,175.0,282.0,284.0,1.0,2.0,-6.0,-21.0,4.0,6.0,14.0,15.0,28.599999999999998,40.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,3.0,3.0,6.0,15.0,43.0
2016092501,33,ARI,BUF,18,33,0,1,22.0,32.0,88.0,208.0,4.0,6.5,26.0,14.0,50.0,25.0,52.0,56.00000000000001,4.7,3.6,233.0,89.0,321.0,297.0,5.0,4.0,-27.0,-30.0,4.0,4.0,15.0,13.0,26.700000000000003,30.8,0.0,0.0,1.0,0.0,4.0,1.0,5.0,1.0,8.0,9.0,50.0,75.0
2016092502,34,MIN,CAR,22,10,1,0,24.0,28.0,58.0,105.0,2.4,3.8,17.0,22.0,27.0,36.0,63.0,61.1,5.0,5.6,134.0,201.0,192.0,306.0,2.0,8.0,-18.0,-64.0,2.0,6.0,11.0,16.0,18.2,37.5,0.0,1.0,0.0,0.0,0.0,3.0,0.0,3.0,6.0,10.0,42.0,65.0
2016092503,35,CIN,DEN,17,29,0,1,29.0,23.0,143.0,52.0,4.9,2.3,21.0,23.0,31.0,35.0,67.7,65.7,6.1,8.7,189.0,303.0,332.0,355.0,4.0,2.0,-17.0,-9.0,5.0,6.0,12.0,12.0,41.699999999999996,50.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,9.0,5.0,69.0,41.0
2016092504,36,DET,GB,27,34,0,1,23.0,24.0,50.0,123.0,2.2,5.1,28.0,15.0,41.0,24.0,68.30000000000001,62.5,9.0,8.4,368.0,201.0,418.0,324.0,3.0,2.0,-17.0,-4.0,8.0,5.0,14.0,10.0,57.099999999999994,50.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,4.0,4.0,86.0,45.0
2016092505,37,BAL,JAX,19,17,1,0,22.0,21.0,84.0,48.0,3.8,2.3,29.0,24.0,40.0,38.0,72.5,63.2,5.0,4.4,199.0,168.0,283.0,216.0,2.0,4.0,-15.0,-26.0,3.0,6.0,13.0,16.0,23.1,37.5,0.0,0.0,1.0,0.0,2.0,3.0,3.0,3.0,8.0,7.0,58.0,75.0
2016092506,38,CLE,MIA,24,30,0,1,30.0,25.0,150.0,115.0,5.0,4.6,24.0,25.0,38.0,39.0,63.2,64.1,6.9,8.0,261.0,311.0,411.0,426.0,4.0,1.0,-18.0,-8.0,4.0,2.0,15.0,10.0,26.700000000000003,20.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,3.0,13.0,8.0,91.0,67.0
2016092507,39,WAS,NYG,29,27,1,0,30.0,21.0,90.0,120.0,3.0,5.7,22.0,25.0,36.0,38.0,61.1,65.8,8.7,8.9,313.0,337.0,403.0,457.0,2.0,2.0,-14.0,-13.0,7.0,4.0,16.0,8.0,43.8,50.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,3.0,8.0,11.0,70.0,128.0
2016092508,40,OAK,TEN,17,10,1,0,25.0,28.0,123.0,176.0,4.9,6.3,21.0,17.0,35.0,33.0,60.0,51.5,7.0,6.4,245.0,212.0,368.0,388.0,1.0,1.0,-4.0,-2.0,5.0,2.0,13.0,12.0,38.5,16.7,0.0,1.0,0.0,1.0,1.0,2.0,1.0,3.0,8.0,8.0,58.0,70.0
2016092509,41,SF,SEA,18,37,0,1,31.0,31.0,135.0,127.0,4.4,4.1,14.0,22.0,25.0,32.0,56.00000000000001,68.8,4.8,9.1,119.0,291.0,254.0,418.0,0.0,2.0,0.0,-17.0,4.0,9.0,15.0,14.0,26.700000000000003,64.3,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,4.0,6.0,35.0,50.0
2016092510,42,TB,LA,32,37,0,1,22.0,33.0,83.0,137.0,3.8,4.2,36.0,14.0,58.0,26.0,62.1,53.800000000000004,6.7,7.0,389.0,183.0,472.0,320.0,2.0,1.0,-16.0,-7.0,8.0,6.0,16.0,13.0,50.0,46.2,0.0,0.0,1.0,1.0,1.0,1.0,2.0,2.0,9.0,8.0,80.0,69.0
2016092511,43,PHI,PIT,34,3,1,0,30.0,10.0,125.0,29.0,4.2,2.9,23.0,24.0,31.0,44.0,74.2,54.50000000000001,9.5,4.5,294.0,197.0,419.0,226.0,0.0,4.0,0.0,-35.0,4.0,4.0,10.0,11.0,40.0,36.4,0.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,10.0,7.0,99.0,77.0
2016092512,44,SD,IND,22,26,0,1,17.0,26.0,37.0,93.0,2.2,3.6,26.0,24.0,39.0,37.0,66.7,64.9,8.1,8.6,315.0,317.0,352.0,410.0,2.0,2.0,-11.0,-14.0,4.0,2.0,11.0,9.0,36.4,22.2,0.0,0.0,3.0,1.0,0.0,1.0,3.0,2.0,10.0,10.0,80.0,66.0
2016092513,45,KC,NYJ,24,3,1,0,27.0,22.0,72.0,108.0,2.7,4.9,25.0,20.0,33.0,44.0,75.8,45.5,6.7,4.3,221.0,188.0,293.0,296.0,2.0,0.0,-16.0,0.0,7.0,7.0,15.0,14.0,46.7,50.0,1.0,0.0,1.0,2.0,0.0,6.0,1.0,8.0,5.0,3.0,59.0,15.0
2016092600,46,CHI,DAL,17,31,0,1,13.0,41.0,79.0,199.0,6.1,4.9,30.0,19.0,49.0,24.0,61.199999999999996,79.2,6.4,10.3,312.0,248.0,391.0,447.0,1.0,0.0,-5.0,0.0,2.0,5.0,10.0,11.0,20.0,45.5,0.0,0.0,2.0,1.0,0.0,0.0,2.0,1.0,6.0,4.0,45.0,45.0
2016092900,47,ATL,NO,45,32,1,0,31.0,23.0,217.0,115.0,7.0,5.0,20.0,36.0,30.0,54.0,66.7,66.7,7.5,6.6,225.0,359.0,442.0,474.0,2.0,2.0,-15.0,-17.0,5.0,7.0,11.0,13.0,45.5,53.800000000000004,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,4.0,5.0,35.0,75.0
2016100200,48,MIA,CIN,7,22,0,1,13.0,37.0,62.0,77.0,4.8,2.1,15.0,22.0,25.0,31.0,60.0,71.0,6.4,9.2,160.0,285.0,222.0,362.0,5.0,1.0,-29.0,-11.0,2.0,3.0,11.0,15.0,18.2,20.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,7.0,6.0,68.0,40.0
2016100201,49,JAX,IND,30,27,1,0,29.0,25.0,136.0,94.0,4.7,3.8,19.0,27.0,33.0,42.0,57.599999999999994,64.3,5.9,4.5,195.0,190.0,331.0,284.0,3.0,6.0,-12.0,-44.0,3.0,9.0,11.0,17.0,27.3,52.900000000000006,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,11.0,7.0,145.0,78.0
2016100202,50,ATL,CAR,48,33,1,0,25.0,15.0,90.0,49.0,3.6,3.3,28.0,31.0,37.0,48.0,75.7,64.60000000000001,13.0,6.9,481.0,329.0,571.0,378.0,3.0,1.0,-22.0,-8.0,8.0,7.0,13.0,16.0,61.5,43.8,0.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,8.0,6.0,77.0,55.0
2016100203,51,BAL,OAK,27,28,0,1,26.0,19.0,130.0,62.0,5.0,3.3,32.0,25.0,52.0,35.0,61.5,71.39999999999999,5.4,5.7,282.0,199.0,412.0,261.0,2.0,0.0,-16.0,0.0,5.0,3.0,17.0,12.0,29.4,25.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,10.0,12.0,105.0,93.0
2016100204,52,DET,CHI,14,17,0,1,18.0,29.0,66.0,114.0,3.7,3.9,23.0,28.0,36.0,36.0,63.9,77.8,5.5,8.2,197.0,294.0,263.0,408.0,2.0,2.0,-16.0,-8.0,4.0,5.0,12.0,13.0,33.300000000000004,38.5,0.0,1.0,0.0,0.0,2.0,0.0,2.0,0.0,10.0,8.0,76.0,55.0
2016100205,53,TEN,HOU,20,27,0,1,32.0,24.0,124.0,115.0,3.9,4.8,12.0,25.0,29.0,37.0,41.4,67.60000000000001,6.4,6.6,186.0,244.0,310.0,359.0,1.0,1.0,-6.0,-10.0,7.0,5.0,15.0,12.0,46.7,41.699999999999996,1.0,1.0,0.0,0.0,1.0,2.0,1.0,2.0,11.0,6.0,93.0,59.0
2016100206,54,BUF,NE,16,0,1,0,28.0,20.0,103.0,91.0,3.7,4.6,27.0,17.0,39.0,27.0,69.19999999999999,63.0,6.3,6.9,244.0,187.0,347.0,278.0,2.0,3.0,-2.0,-18.0,7.0,1.0,15.0,12.0,46.7,8.3,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,9.0,60.0,74.0
2016100207,55,SEA,NYJ,27,17,1,0,26.0,20.0,66.0,58.0,2.5,2.9,23.0,23.0,32.0,41.0,71.89999999999999,56.10000000000001,9.0,6.0,288.0,247.0,354.0,305.0,2.0,4.0,-21.0,-14.0,3.0,7.0,10.0,15.0,30.0,46.7,0.0,0.0,0.0,0.0,0.0,3.0,0.0,3.0,7.0,7.0,71.0,60.0
2016100208,56,CLE,WAS,20,31,0,1,26.0,26.0,170.0,145.0,6.5,5.6,28.0,21.0,40.0,27.0,70.0,77.8,5.4,5.8,217.0,156.0,387.0,301.0,1.0,3.0,-6.0,-27.0,8.0,4.0,12.0,8.0,66.7,50.0,1.0,0.0,2.0,0.0,1.0,1.0,3.0,1.0,7.0,9.0,101.0,75.0
2016100209,57,DEN,TB,27,7,1,0,32.0,26.0,89.0,72.0,2.8,2.8,19.0,17.0,31.0,35.0,61.3,48.6,7.0,4.1,218.0,143.0,307.0,215.0,4.0,5.0,-20.0,-36.0,3.0,5.0,13.0,16.0,23.1,31.2,0.0,1.0,0.0,1.0,0.0,2.0,0.0,3.0,9.0,9.0,88.0,69.0
2016100210,58,LA,ARI,17,13,1,0,23.0,25.0,41.0,118.0,1.8,4.7,18.0,27.0,30.0,47.0,60.0,57.4,8.2,6.4,247.0,302.0,288.0,420.0,2.0,3.0,-19.0,-23.0,6.0,6.0,14.0,13.0,42.9,46.2,1.0,0.0,1.0,2.0,0.0,3.0,1.0,5.0,9.0,6.0,84.0,45.0
2016100211,59,SD,NO,34,35,0,1,21.0,34.0,38.0,83.0,1.8,2.4,28.0,23.0,43.0,36.0,65.10000000000001,63.9,7.2,5.3,308.0,192.0,346.0,275.0,3.0,2.0,-13.0,-15.0,6.0,11.0,13.0,18.0,46.2,61.1,0.0,0.0,2.0,0.0,1.0,2.0,3.0,2.0,5.0,6.0,46.0,34.0
2016100212,60,SF,DAL,17,24,0,1,29.0,39.0,106.0,194.0,3.7,5.0,16.0,23.0,23.0,32.0,69.6,71.89999999999999,8.2,7.3,189.0,234.0,295.0,428.0,1.0,2.0,-7.0,-11.0,8.0,6.0,14.0,14.0,57.099999999999994,42.9,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,5.0,6.0,32.0,45.0
2016100300,61,PIT,KC,43,14,1,0,26.0,18.0,149.0,87.0,5.7,4.8,22.0,30.0,27.0,50.0,81.5,60.0,10.6,5.1,287.0,253.0,436.0,340.0,2.0,4.0,-13.0,-17.0,6.0,8.0,11.0,17.0,54.50000000000001,47.099999999999994,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,9.0,7.0,68.0,40.0
2016100600,62,MIN,NYG,24,10,1,0,33.0,18.0,104.0,78.0,3.2,4.3,26.0,25.0,36.0,45.0,72.2,55.60000000000001,7.3,5.8,262.0,261.0,366.0,339.0,0.0,0.0,0.0,0.0,8.0,2.0,16.0,12.0,50.0,16.7,0.0,2.0,0.0,1.0,0.0,1.0,0.0,2.0,6.0,8.0,37.0,69.0
2016100900,63,SF,ARI,21,33,0,1,36.0,37.0,151.0,172.0,4.2,4.6,18.0,11.0,31.0,28.0,58.099999999999994,39.300000000000004,4.4,4.1,135.0,116.0,286.0,288.0,7.0,1.0,-27.0,-8.0,4.0,5.0,14.0,16.0,28.599999999999998,31.2,0.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,4.0,7.0,34.0,50.0
