game_id,gameCount,Team 1,Team 2,Team 1 Score,Team 2 Score,Team 1 Win,Team 2 Win,Team 1 Rushing Attempts,Team 2 Rushing Attempts,Team 1 Rushing Yards,Team 2 Rushing Yards,Team 1 YPC,Team 2 YPC,Team 1 Pass Completions,Team 2 Pass Completions,Team 1 Pass Attempts,Team 2 Pass Attempts,Team 1 Completion Percentage,Team 2 Completion Percentage,Team 1 YPA,Team 2 YPA,Team 1 Passing Yards,Team 2 Passing Yards,Team 1 Total Yards,Team 2 Total Yards,Team 1 Times Sacked,Team 2 Times Sacked,Team 1 Sack Yardage,Team 2 Sack Yardage,Team 1 3rd Down Conversions,Team 2 3rd Down Conversions,Team 1 3rd Down Attempts,Team 2 3rd Down Attempts,Team 1 3rd Down Conversion Rate,Team 2 3rd Down Conversion Rate,Team 1 Turnovers on Downs,Team 2 Turnovers on Downs,Team 1 Fumbles Lost,Team 2 Fumbles Lost,Team 1 Interceptions Thrown,Team 2 Interceptions Thrown,Team 1 Total Turnovers,Team 2 Total Turnovers,Team 1 Penalties,Team 2 Penalties,Team 1 Penalty Yardage,Team 2 Penalty Yardage
2017091000,0,KC,NE,42,27,1,0,27.0,35.0,185.0,124.0,6.9,3.5,28.0,16.0,35.0,36.0,80.0,44.4,10.1,6.9,352.0,247.0,537.0,371.0,3.0,3.0,-16.0,-20.0,4.0,5.0,11.0,15.0,36.4,33.300000000000004,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,15.0,6.0,139.0,55.0
2017091001,1,NYJ,BUF,12,21,0,1,15.0,42.0,38.0,190.0,2.5,4.5,26.0,16.0,39.0,28.0,66.7,57.099999999999994,4.5,7.8,176.0,218.0,214.0,408.0,1.0,2.0,-11.0,-6.0,4.0,8.0,14.0,17.0,28.599999999999998,47.099999999999994,0.0,0.0,0.0,0.0,2.0,1.0,2.0,1.0,5.0,6.0,62.0,50.0
2017091002,2,CHI,ATL,17,23,0,1,18.0,23.0,121.0,64.0,6.7,2.8,26.0,21.0,40.0,30.0,65.0,70.0,4.4,10.3,176.0,308.0,297.0,372.0,4.0,2.0,-37.0,-13.0,5.0,5.0,13.0,11.0,38.5,45.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,8.0,40.0,73.0
2017091003,3,BAL,CIN,20,0,1,0,42.0,22.0,157.0,77.0,3.7,3.5,9.0,16.0,17.0,31.0,52.900000000000006,51.6,6.5,4.6,111.0,144.0,268.0,221.0,1.0,5.0,-10.0,-26.0,6.0,4.0,14.0,13.0,42.9,30.8,0.0,1.0,0.0,1.0,1.0,4.0,1.0,5.0,11.0,9.0,85.0,66.0
2017091004,4,PIT,CLE,21,18,1,0,17.0,25.0,35.0,57.0,2.1,2.3,24.0,20.0,36.0,30.0,66.7,66.7,7.1,6.0,255.0,180.0,290.0,237.0,1.0,7.0,-8.0,-42.0,5.0,3.0,13.0,12.0,38.5,25.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,13.0,4.0,143.0,61.0
2017091005,5,DET,ARI,35,23,1,0,26.0,18.0,72.0,45.0,2.8,2.5,29.0,27.0,41.0,48.0,70.7,56.2,7.0,5.5,285.0,263.0,357.0,308.0,1.0,1.0,-7.0,-5.0,8.0,6.0,16.0,15.0,50.0,40.0,1.0,0.0,0.0,1.0,1.0,3.0,1.0,4.0,10.0,6.0,100.0,55.0
2017091007,6,HOU,JAX,7,29,0,1,23.0,39.0,93.0,155.0,4.0,4.0,19.0,11.0,36.0,21.0,52.800000000000004,52.400000000000006,3.1,6.0,110.0,125.0,203.0,280.0,10.0,0.0,-54.0,0.0,5.0,3.0,12.0,12.0,41.699999999999996,25.0,1.0,0.0,3.0,0.0,1.0,0.0,4.0,0.0,9.0,10.0,94.0,89.0
2017091008,7,TEN,OAK,16,26,0,1,21.0,29.0,95.0,109.0,4.5,3.8,25.0,22.0,41.0,32.0,61.0,68.8,6.2,7.8,255.0,250.0,350.0,359.0,1.0,2.0,-1.0,-12.0,7.0,5.0,14.0,12.0,50.0,41.699999999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,49.0,49.0
2017091009,8,PHI,WAS,30,17,1,0,24.0,17.0,58.0,64.0,2.4,3.8,26.0,23.0,39.0,40.0,66.7,57.49999999999999,7.6,5.0,298.0,200.0,356.0,264.0,2.0,4.0,-9.0,-40.0,8.0,3.0,14.0,11.0,57.099999999999994,27.3,0.0,1.0,1.0,3.0,1.0,1.0,2.0,4.0,8.0,2.0,76.0,15.0
2017091010,9,IND,LA,9,46,0,1,24.0,33.0,72.0,63.0,3.0,1.9,11.0,22.0,21.0,30.0,52.400000000000006,73.3,7.1,10.3,150.0,310.0,222.0,373.0,4.0,1.0,-29.0,-8.0,0.0,5.0,10.0,14.0,0.0,35.699999999999996,1.0,0.0,1.0,1.0,2.0,0.0,3.0,1.0,4.0,7.0,20.0,50.0
2017091011,10,GB,SEA,17,9,1,0,28.0,18.0,84.0,90.0,3.0,5.0,28.0,14.0,42.0,27.0,66.7,51.9,6.8,5.0,286.0,135.0,370.0,225.0,4.0,3.0,-25.0,-23.0,9.0,3.0,16.0,12.0,56.2,25.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,8.0,8.0,70.0,50.0
